id,title,type,date,cve,cvss,base severity,cwe id,cwe,epss,lien,description,references,editeur,produit,versions
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-26854,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,alertes,2021-05-12,CVE-2021-26893,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,alertes,2021-05-12,CVE-2021-26897,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,alertes,2021-05-12,CVE-2021-26894,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,alertes,2021-05-12,CVE-2021-26877,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,alertes,2021-05-12,CVE-2021-26895,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-006,[MàJ] Vulnérabilité dans F5 BIG-IP,alertes,2021-04-15,CVE-2021-22986,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-189/,Non disponible,,F5,BIG-IP,BIG-IP versions 16.x antérieures à 16.0.1.1; BIG-IP versions 13.x antérieures à 13.1.3.6; BIG-IP versions 12.x antérieures à 12.1.5.3; BIG-IP versions 15.x antérieures à 15.1.2.1; BIG-IP versions 14.x antérieures à 14.1.4
CERTFR-2021-ALE-007,[MàJ] Vulnérabilité dans Pulse Connect Secure,alertes,2021-06-21,CVE-2021-22893,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-335/,Non disponible,,N/A,N/A,Pulse Connect Secure versions 9.1RX; Pulse Connect Secure versions 9.0R3 et ultérieures
CERTFR-2021-ALE-007,[MàJ] Vulnérabilité dans Pulse Connect Secure,alertes,2021-06-21,CVE-2021-22894,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-335/,Non disponible,,N/A,N/A,Pulse Connect Secure versions 9.1RX; Pulse Connect Secure versions 9.0R3 et ultérieures
CERTFR-2021-ALE-007,[MàJ] Vulnérabilité dans Pulse Connect Secure,alertes,2021-06-21,CVE-2021-22899,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-335/,Non disponible,,N/A,N/A,Pulse Connect Secure versions 9.1RX; Pulse Connect Secure versions 9.0R3 et ultérieures
CERTFR-2021-ALE-007,[MàJ] Vulnérabilité dans Pulse Connect Secure,alertes,2021-06-21,CVE-2021-22900,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-335/,Non disponible,,N/A,N/A,Pulse Connect Secure versions 9.1RX; Pulse Connect Secure versions 9.0R3 et ultérieures
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2021-27216,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28013,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28026,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28009,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28023,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28011,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28022,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28008,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28021,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28024,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28018,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28010,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28017,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28012,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28007,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28020,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28015,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28016,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28025,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28014,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,alertes,2021-06-10,CVE-2020-28019,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Exim,N/A,Exim versions antérieures à 4.94
CERTFR-2021-ALE-009,[MàJ] Vulnérabilité dans Microsoft Windows,alertes,2021-06-10,CVE-2021-31166,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,Windows 10 version 20H2; Windows Server version 2004; Windows Server version 20H2; Windows 10 version 2004
CERTFR-2021-ALE-010,Vulnérabilité dans Adobe Acrobat et Acrobat Reader,alertes,2021-06-29,CVE-2021-28550,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,,,
CERTFR-2021-ALE-011,Vulnérabilité dans VMware vCenter Server,alertes,2021-10-19,CVE-2021-21985,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,VMware,vCenter Server,vCenter Server versions 6.5 antérieures à 6.5 U3p; Cloud Foundation (vCenter Server) versions 3.x antérieures à 3.10.2.1; vCenter Server versions 7.0 antérieures à 7.0 U2b; vCenter Server versions 6.7 antérieures à 6.7 U3n; Cloud Foundation (vCenter Server) versions 4.x antérieures à 4.2.1
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-31201,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-31955,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-33739,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-31199,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-31956,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,alertes,2021-10-19,CVE-2021-33742,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,Microsoft,Windows,"Windows Server 2016; Windows 10 Version 21H1 pour systèmes 32 bits; Windows 10 Version 20H2 pour systèmes 32 bits; Windows Server 2008 pour systèmes x64 Service Pack 2; Windows Server 2008 pour systèmes 32 bits Service Pack 2; Windows Server 2012; Windows Server 2012 R2; Windows 10 Version 1909 pour systèmes 32 bits; Windows Server 2016 (Server Core installation); Windows 7 pour systèmes 32 bits Service Pack 1; Windows 10 Version 1809 pour systèmes x64; Windows 10 pour systèmes x64; Windows RT 8.1; Windows 10 Version 2004 pour systèmes 32 bits; Windows Server 2012 R2 (Server Core installation); Windows 10 Version 20H2 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation); Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation); Windows 10 Version 1909 pour systèmes x64; Windows 10 Version 2004 pour ARM64-based Systems; Windows 7 pour systèmes x64 Service Pack 1; Windows Server 2019; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 21H1 pour systèmes x64; Windows 10 Version 1909 pour ARM64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 1809 pour ARM64-based Systems; Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation); Windows 8.1 pour systèmes x64; Windows Server 2008 R2 pour systèmes x64 Service Pack 1; Windows 10 Version 1607 pour systèmes x64; Windows 10 Version 2004 pour systèmes x64; Windows 10 pour systèmes 32 bits; Windows 10 Version 21H1 pour ARM64-based Systems; Windows 8.1 pour systèmes 32 bits; Windows Server 2012 (Server Core installation); Windows 10 Version 1607 pour systèmes 32 bits; Windows Server 2019 (Server Core installation); Windows 10 Version 20H2 pour ARM64-based Systems; Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-013,[MaJ] Vulnérabilité dans Microsoft Windows,alertes,2021-07-02,CVE-2021-1675,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-448/,Non disponible,,Microsoft,Windows,"Windows 10 for x64-based Systems; Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation); Windows Server 2008 R2 for x64-based Systems Service Pack 1; Windows 10 Version 20H2 for ARM64-based Systems; Windows 10 Version 1809 for 32-bit Systems; Windows Server 2012; Windows 8.1 for 32-bit systems; Windows 7 for 32-bit Systems Service Pack 1; Windows RT 8.1; Windows 8.1 for x64-based systems; Windows 10 Version 2004 for 32-bit Systems; Windows Server 2019 (Server Core installation); Windows Server 2008 for x64-based Systems Service Pack 2; Windows Server 2012 R2 (Server Core installation); Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation); Windows Server 2016; Windows 10 Version 1607 for 32-bit Systems; Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation); Windows 10 Version 21H1 for 32-bit Systems; Windows 10 Version 2004 for x64-based Systems; Windows Server 2019; Windows 10 Version 1909 for 32-bit Systems; Windows Server, version 20H2 (Server Core Installation); Windows 10 Version 1909 for x64-based Systems; Windows 10 Version 20H2 for x64-based Systems; Windows 7 for x64-based Systems Service Pack 1; Windows 10 Version 20H2 for 32-bit Systems; Windows Server 2008 for 32-bit Systems Service Pack 2; Windows 10 Version 2004 for ARM64-based Systems; Windows 10 for 32-bit Systems; Windows 10 Version 1809 for x64-based Systems; Windows Server, version 2004 (Server Core installation); Windows 10 Version 21H1 for ARM64-based Systems; Windows 10 Version 21H1 for x64-based Systems; Windows Server 2016 (Server Core installation); Windows 10 Version 1809 for ARM64-based Systems; Windows Server 2012 R2; Windows 10 Version 1607 for x64-based Systems; Windows 10 Version 1909 for ARM64-based Systems"
